full_text,sentiment
timnas bahrain harusnya malu sih karena media asing mulai menotice kontroversi dari wasit ahmed al kaf pada laga indonesia vs bahrain  bahkan beberapa dari media asing mengatakan poin yang didapat bahrain tadi malam karena dibantu oleh wasit  timnasday afcmafia ,negative
 bahrain have a lot of money but don t have a class  komentar terbaik dari suppoer timnas indonesia vs bahrain  menyala ,negative
kalender timnas indonesia di tahun 2024  oktober  timnas senior   r3 kualifikasi piala dunia 2026 10 10     bahrain vs indonesia    15 10     china vs indonesia    timnas u17   kualifikasi piala asia u17 2025 23 10     kuwait vs indonesia    25 10     mariana island vs ,neutral
gassss yang mau nobar indonesia vs bahrain kamis malem info nobar timnas jogja timnasday ,neutral
netijen indonesia paling sering ribut dgn netijen malaysia mengenai keunggulan timnas masing2  namun justru media malaysia yg 1 suara dgn netijen indonesia terkait kontroversi wasit pada peandingan bahrain vs indonesia  ,negative
respon kevin diks setelah timnas indonesia vs bahrain   saya nonton saya gak bisa tidur  padahal besok saya ada tes kesehatan  dan saya bete  belum jd wni tapi hatinya udah merah putih     pas nanti jd wni siap2 aja ada yg nyenggol timnas lg  garudamendunia ig erickthohir ,neutral
ngeliat kelakuan wasit indonesia vs bahrain kemarin knetz jadi throwback  ternyata timnas korea juga pernah jadi korban pas lawan iran  katanya wasit ini tuh skilled tapi kalau udah ngelibatin negara timur tengah keputusannya jadi biased ,negative
  mees hilgers debut sebagai staer   malik risaldi debut sebagai staer   maaen paes fit untuk bermain   jordi amat is back   eliano reijnders ada di bench bahrain vs indonesia kick off 23 00 wib   rcti bismillah 3 poin      blibli  ,neutral
respect sama seluruh pemain timnas indonesia yang bisa kontrol emosi di lapangan pasca peandingan vs bahrain  kredit juga untuk para staf pelatih yang ikut menjaga pemain agar tidak melakukan protes yang berlebihan  fokus untuk laga selanjutnya vs china timnas indonesia   ,positive
resmi peandingan bahrain vs indonesia akan di siarkan di 48 negara   tapi hanya 1 negara dari asean yang menanyangkan peandingan ini adik asean yang lain ga punya acara tv apa cemana kelen   timnas indonesia ,neutral
before after instagram wasit ahmed al kaf setelah peandingan timnas indonesia vs bahrain langsung di private ga tuh makanya jangan makan duit haram lu botak  di suap berapa duit lu  kaga prit prit udah jelas waktu habis timnasday timnasindonesia ,negative
45 2  gooaaal ragnar oratmangoen  var check    completed gol sah  bahrain 1 1 indonesia  yukk bisa yukk timnasday ,positive
persatuan sepak bola seluruh indonesia  pssi  resmi mengajukan surat protes ke konfederasi sepak bola asia  afc  atas kepemimpinan ahmed al kaf wasit laga timnas indonesia vs bahrain dalam kualifikasi piala dunia 2026 zona asia    ketua umum pssi erick thohir mengonfirmasi ,negative
komentar pelatih timnas indonesia shin tae yong usai skuad garuda  dikerjai  wasit pada laga bahrain    vs indonesia    coach sty marah dengan keputusan wasit yang berat sebelah  bagaimana tanggapan jebreeeteam  ,positive
kamis 10 oktober 2024 kick off   23 00 wib bahrain vs indonesia ,neutral
media internasional belanda jepang korea hingga meksiko mengomentari laga sepakbola bahrain vs timnas indonesia  menurut mereka wasit afcmafia ahmed al kaf tidak beres  sehingga timnasday gagal meraih kemenangan yg sebetulnya sudah di depan mata ,neutral
proyeksi target point timnas indonesia  1 1 away vs arab saudi  1 point   0 0 home vs australia  1 point   2 2 away vs bahrain  1 point   15 9 away vs china  3 point 14 11 home vs jepang  1 point 19 11 home vs arab  1 point 20 3 away vs australia  1 point 25 3 home vs ,neutral
terlepas dari semua kontroversial yang terjadi di laga bahrain vs    indonesia kita wajib kasih spotlight buat rafael struick yang tampil mengesankan  1st goal timnas beliau terlibat ketika penetrasi  amp  mengumpan 2nd gol timnas beliau scoring  ,positive
  resmi  27 pemain timnas indonesia untuk kualifikasi piala dunia zona asia ronde ketiga matchday 3  amp  4           bahrain vs indonesia 10 10 2024   23 00 wib china vs indonesia 15 10 2024   19 00 wib bismillah 6 poin  ,neutral
ft   bahrain 2 2 indonesia kemenangan di depan mata gagal karena keputusan wasit tetap bangga        timnasday timnasindonesia ,positive
sebelum bri liga1 dimulai   kembali semua bersatu mendukung timnas indonesia   babak 3 qualifikasi piala dunia 2026  vs bahrain  kamis 10 oktober 2024 vs china   selasa 15 oktober 2024 tiap grup  posisi 1  amp  2 lolos piala dunia posisi 3  amp  4 melaju babak 4 posisi 5  amp  6 gugur ,neutral
terakhir kali timnas indonesia main di bahrain  begitu memalukannya sampai harus diselidiki fifa    bahrain butuh menang 9 0 jika ingin lolos  akhirnya tetap gagal lolos karena qatar imbang vs iran     syamsidar dapat kau merah di menit ketiga    bahrain dapat 4 penalti  ,positive
pure aku ingin mencurahkan apa yg kurasakan barusan saat berakhirnya peandingan bahrain vs indonesia murni statementku yah terimakasih buat timnas dan semangat untuk match selanjutnya ,positive
timnas day giveaway time indonesia vs bahrain hadiah 1 juta rupiah untuk 10 orang beruntung  5 orang yang menjawab benar 5 orang lagi random syarat follow retweet quote dan like   zaar and  zaar  sma 70 timnasday ,neutral
belum apa apa wasit asal uea omar mohamed al ali sudah diincar warganet omar mohamed al ali akan memimpin peandingan indonesia vs china selasa  15 10  mendatang  insiden perpanjangan waktu yang merugikan timnas indonesia oleh wasit ahmed al kaf di laga melawan bahrain ,positive
 nilai rating para pemain timnas indonesia vs  bahrain di babak peama oren oren yang penting bismillah poin  blibli  ,neutral
ternyata kevin diks juga ikut kesal menonton laga timnas indonesia vs bahrain kamis  10 10  lalu  dia ikut bete melihat ulah wasit ahmed al kaf demikian menurut erick thohir di video yang diunggah di instagram ketum pssi itu  semoga proses naturalisasi  dilancarkan ,neutral
melihat dari yg pernah terjadi antara afrika selatan vs senegal 2016 maka peandingan tadi malam timnas indonesia vs bahrain berpotensi di lakukan tanding ulang inilah salah satu buah dari wasit ahmed al kaf yg tidak becus memimpin peandingan afcmafia  ,neutral
goal ke 2 indonesia di babak kedua dicetak rafael struick timnas indonesia vs bahrain skor 2 1 timnasday ,neutral
ini disampaikan pelatih timnas indonesia shin tae yong dalam konferensi pers usai peandingan bahrain vs indonesia yang berakhir imbang 2 2 yang diwarnai kontroversi  baik indonesia dan bahrain melakukan yang terbaik sampai wasit meniup peluit pada menit terakhir  tapi saya ,positive
lokasi yang menyelanggarakan nobar timnas indonesia vs bahrain ,neutral
jelang laga timnas indonesia vs timnas bahrain supoer indonesia antusias hadir untuk mendukung timnas   fifa jatuhkan sanksi kepada bahrain gara gara insiden laser saat jumpa jepang  timnasindonesia timnasday ,positive
 rating timnas indonesia vs  bahrain  blibli  ,positive
link timnas ,positive
shame on you ahmed al kaf wasit gila yang sudah punya 2 jam tangan tapi curang membiarkan peandingan melewati batas waktu tambahan 6 menit indonesia vs bahrain jadi 2   2  fifa hrs investigasi wasit curangi timnas indonesia afcmafia fifa timnasindonesia timnasday timnas ,positive
presiden ri joko widodo mengaku gondok atau jengkel dengan keputusan kontroversial wasit ahmed al kaf pada laga timnas indonesia vs bahrain  jokowi menyebutkan alasan dirinya gondok karena waktu tambahan yang seharusnya 6 menit menjadi 9 menit karena wasit tak kunjung meniup ,positive
hai haiii siapa yg ga sabar nonton timnas indonesia vs bahrain malam ini       bisa nonton live streaming di vision plus atau rcti  yaa ready banyak di aku cuss langsung aja order ke dm wa untuk harga dan info lengkap cek gambar di bawah ini timnasindonesia timnas zonaba ,neutral
emang dasar wasit nya udah dibayar sama pihak bahrain  tetap semangat timnas indonesia   perjuangan belum selesai   aku tambahin tangkapan layar di menit ke 98 32 dengan skor bahrain 1 vs indo 2  timnasday ,positive
pelatih timnas indonesia shin tae yong menilai semua yang menyaksikan laga melawan bahrain akan memahami mengapa pemain garuda marah atau kesal saat laga usai  drama terjadi dalam laga bahrain vs indonesia dalam lanjutan laga grup c kualifikasi piala dunia 2026 zona asia di ,negative
 link streaming timnas day    indonesia vs bahrain  jam 11 kevin diks ragnar raline shah timnasday ,neutral
menuju piala dunia 2026 peandingan timnas indonesia vs bahrain tersaji pada pukul 23 00 wib live di rcti timnasday ,positive
